name,version,license_match,old_license,new_license,license_changed,change_kind,old_link,new_link,link_changed,changed_fields,notes
aiohttp,3.13.5,True,Apache License 2.0,"Apache-2.0, MIT",True,partial,https://github.com/aio-libs/aiohttp/blob/v3.13.5/LICENSE.txt,https://github.com/aio-libs/aiohttp/blob/v3.13.5/LICENSE.txt,False,license,"license-changed[partial]: Apache License 2.0 -> Apache-2.0, MIT"
av,17.0.0,False,BSD-2-Clause,BSD-3-Clause,True,variant,https://github.com/PyAV-Org/PyAV/blob/v17.0.0/LICENSE.txt,https://github.com/PyAV-Org/PyAV/blob/v17.0.0/LICENSE.txt,False,license,license-changed[variant]: BSD-2-Clause -> BSD-3-Clause
certifi,2026.2.25,True,MPL-2.0,MPL-2.0,False,,https://github.com/certifi/python-certifi/blob/2026.2.25/LICENSE,https://github.com/certifi/python-certifi/blob/2026.2.25/LICENSE,False,,link-broken-unresolved
chardet,5.2.0,False,LGPLv2+,LGPL-2.0-or-later,True,variant,https://github.com/chardet/chardet/blob/5.2.0/LICENSE,https://github.com/chardet/chardet/blob/5.2.0/LICENSE,False,license,license-changed[variant]: LGPLv2+ -> LGPL-2.0-or-later
click,8.3.2,True,BSD,BSD,False,,https://github.com/pallets/click/blob/8.3.2/README.rst,https://github.com/pallets/click/blob/8.3.2/LICENSE.txt,True,license_link,link-fixed
cuda-bindings,12.9.4,False,Apache-2.0,Apache-2.0,False,,https://github.com/NVIDIA/cuda-python/blob/v12.9.4/LICENSE,https://github.com/NVIDIA/cuda-python/blob/v12.9.4/LICENSE.md,True,license_link,license-unverified; link-fixed
cuda-pathfinder,1.5.4,True,Apache-2.0,Apache-2.0,False,,https://github.com/NVIDIA/cuda-python/blob/v1.5.4/LICENSE,https://github.com/NVIDIA/cuda-python/blob/v1.5.4/LICENSE,False,,link-broken-unresolved
cycler,0.12.1,False,BSD-2-Clause,BSD-3-Clause,True,variant,https://github.com/matplotlib/cycler/blob/v0.12.1/LICENSE,https://github.com/matplotlib/cycler/blob/v0.12.1/LICENSE,False,license,license-changed[variant]: BSD-2-Clause -> BSD-3-Clause
datasketch,1.9.0,False,BSD-3-Clause,MIT,True,cross-family,https://github.com/ekzhu/datasketch/blob/v1.9.0/LICENSE,https://github.com/ekzhu/datasketch/blob/v1.9.0/LICENSE,False,license,license-changed[cross-family]: BSD-3-Clause -> MIT
dbus-python,1.3.2,True,MIT,MIT,False,,https://gitlab.freedesktop.org/dbus/dbus-python/-/blob/1.3.2/COPYING,https://gitlab.freedesktop.org/dbus/dbus-python/-/blob/1.3.2/COPYING,False,,link-broken-non-github
decorator,5.2.1,False,BSD-2-Clause,BSD-3-Clause,True,variant,https://github.com/micheles/decorator/blob/5.2.1/LICENSE.txt,https://github.com/micheles/decorator/blob/5.2.1/LICENSE.txt,False,license,license-changed[variant]: BSD-2-Clause -> BSD-3-Clause
ethtool,0.15,False,GPL-2.0-or-later,GPL-2.0,True,variant,https://pypi.org/project/ethtool/0.15/,https://pypi.org/project/ethtool/0.15/,False,license,license-changed[variant]: GPL-2.0-or-later -> GPL-2.0
