name,version,license_match,old_license,new_license,license_changed,change_kind,old_link,new_link,link_changed,changed_fields,notes
aiofiles,25.1.0,True,Apache-2.0,Apache-2.0,False,,https://github.com/Tinche/aiofiles/blob/v25.1.0/LICENSE,https://github.com/Tinche/aiofiles/blob/v25.1.0/LICENSE,False,,
aiohappyeyeballs,2.6.2,True,PSF-2.0,PSF-2.0,False,,https://github.com/aio-libs/aiohappyeyeballs/blob/v2.6.2/LICENSE,https://github.com/aio-libs/aiohappyeyeballs/blob/v2.6.2/LICENSE,False,,
aiohttp,3.13.5,True,Apache License 2.0,"Apache-2.0, MIT",True,partial,https://github.com/aio-libs/aiohttp/blob/v3.13.5/LICENSE.txt,https://github.com/aio-libs/aiohttp/blob/v3.13.5/LICENSE.txt,False,license,"license-changed[partial]: Apache License 2.0 -> Apache-2.0, MIT"
aioitertools,0.13.0,True,MIT,MIT,False,,https://github.com/omnilib/aioitertools/blob/v0.13.0/LICENSE,https://github.com/omnilib/aioitertools/blob/v0.13.0/LICENSE,False,,
aiosignal,1.4.0,True,Apache License 2.0,Apache License 2.0,False,,https://github.com/aio-libs/aiosignal/blob/v1.4.0/LICENSE,https://github.com/aio-libs/aiosignal/blob/v1.4.0/LICENSE,False,,
alembic,1.18.4,True,MIT License,MIT License,False,,https://github.com/sqlalchemy/alembic/blob/rel_1_18_4/LICENSE,https://github.com/sqlalchemy/alembic/blob/rel_1_18_4/LICENSE,False,,
annotated-doc,0.0.4,True,MIT,MIT,False,,https://github.com/fastapi/annotated-doc/blob/0.0.4/LICENSE,https://github.com/fastapi/annotated-doc/blob/0.0.4/LICENSE,False,,
annotated-types,0.7.0,True,MIT,MIT,False,,https://github.com/annotated-types/annotated-types/blob/v0.7.0/LICENSE,https://github.com/annotated-types/annotated-types/blob/v0.7.0/LICENSE,False,,
antlr4-python3-runtime,4.9.3,True,BSD-3-Clause,BSD-3-Clause,False,,https://www.antlr.org/license.html,https://www.antlr.org/license.html,False,,
anyio,4.13.0,True,MIT,MIT,False,,https://github.com/agronholm/anyio/blob/4.13.0/LICENSE,https://github.com/agronholm/anyio/blob/4.13.0/LICENSE,False,,
asteroid-filterbanks,0.4.0,True,MIT,MIT,False,,https://github.com/asteroid-team/asteroid-filterbanks/blob/v0.4.0/LICENSE,https://github.com/asteroid-team/asteroid-filterbanks/blob/v0.4.0/LICENSE,False,,
asyncpg,0.31.0,True,Apache-2.0,Apache-2.0,False,,https://github.com/MagicStack/asyncpg/blob/v0.31.0/LICENSE,https://github.com/MagicStack/asyncpg/blob/v0.31.0/LICENSE,False,,
attrs,26.1.0,True,MIT,MIT,False,,https://github.com/python-attrs/attrs/blob/26.1.0/LICENSE,https://github.com/python-attrs/attrs/blob/26.1.0/LICENSE,False,,
audioread,3.1.0,True,MIT,MIT,False,,https://github.com/beetbox/audioread/blob/v3.1.0/LICENSE,https://github.com/beetbox/audioread/blob/v3.1.0/LICENSE,False,,
av,17.0.0,False,BSD-2-Clause,BSD-3-Clause,True,variant,https://github.com/PyAV-Org/PyAV/blob/v17.0.0/LICENSE.txt,https://github.com/PyAV-Org/PyAV/blob/v17.0.0/LICENSE.txt,False,license,license-changed[variant]: BSD-2-Clause -> BSD-3-Clause
boolean.py,5.0,True,BSD-2-Clause,BSD-2-Clause,False,,https://github.com/bastikr/boolean.py/blob/v5.0/LICENSE.txt,https://github.com/bastikr/boolean.py/blob/v5.0/LICENSE.txt,False,,
catboost,1.2.10,True,Apache-2.0,Apache-2.0,False,,https://github.com/catboost/catboost/blob/v1.2.10/LICENSE,https://github.com/catboost/catboost/blob/v1.2.10/LICENSE,False,,
certifi,2026.2.25,True,MPL-2.0,MPL-2.0,False,,https://github.com/certifi/python-certifi/blob/2026.2.25/LICENSE,https://github.com/certifi/python-certifi/blob/2026.2.25/LICENSE,False,,link-broken-unresolved
cffi,2.0.0,True,MIT,MIT,False,,https://github.com/python-cffi/cffi/blob/v2.0.0/LICENSE,https://github.com/python-cffi/cffi/blob/v2.0.0/LICENSE,False,,
chardet,5.2.0,False,LGPLv2+,LGPL-2.0-or-later,True,variant,https://github.com/chardet/chardet/blob/5.2.0/LICENSE,https://github.com/chardet/chardet/blob/5.2.0/LICENSE,False,license,license-changed[variant]: LGPLv2+ -> LGPL-2.0-or-later
charset-normalizer,3.4.7,True,MIT,MIT,False,,https://github.com/jawah/charset_normalizer/blob/3.4.7/LICENSE,https://github.com/jawah/charset_normalizer/blob/3.4.7/LICENSE,False,,
click,8.3.2,True,BSD,BSD,False,,https://github.com/pallets/click/blob/8.3.2/README.rst,https://github.com/pallets/click/blob/8.3.2/LICENSE.txt,True,license_link,link-fixed
coloredlogs,15.0.1,True,MIT,MIT,False,,https://github.com/xolox/python-coloredlogs/blob/15.0.1/LICENSE.txt,https://github.com/xolox/python-coloredlogs/blob/15.0.1/LICENSE.txt,False,,
colorlog,6.10.1,True,MIT,MIT,False,,https://github.com/borntyping/python-colorlog/blob/v6.10.1/LICENSE,https://github.com/borntyping/python-colorlog/blob/v6.10.1/LICENSE,False,,
